rank_overall,performance,date,length,name,nationality,yob,rank_edition,gender,rank_gender,age_cat,rank_cat,finish_hours,year,tier
881,25:32:42 h,05.-11.04.2015,249km/6stages,"Glowacki, Michal",POL,1982.0,14,M,14,M30,3,25.545,2015,ELITE
882,25:32:45 h,25.-31.03.2007,221km/6stages,"Bertrand, Nicolas",FRA,1966.0,40,M,38,M40,9,25.545833333333334,2007,ELITE
883,25:33:28 h,02.-12.04.2010,245km/6stages,"Olmo, Marco",ITA,1948.0,13,M,13,M60,1,25.55777777777778,2010,ELITE
884,25:33:36 h,07.-13.04.2019,237km/6stages,"Bacon, Shaun Mathew",AUS,1964.0,29,M,27,M55,1,25.560000000000002,2019,ELITE
885,25:33:48 h,07.-13.04.2002,230km/6stages,"Loison, Alain",FRA,1958.0,30,M,30,M40,7,25.563333333333333,2002,ELITE
886,25:34:12 h,02.-12.04.1999,225km/6stages,"Chippendale, Neil",GBR,,45,M,44,#NA,,25.57,1999,ELITE
887,25:34:22 h,30.03.-05.04.2008,245.3km/6stages,"Archer, Theodore",USA,1977.0,16,M,16,M30,4,25.572777777777777,2008,ELITE
888,25:34:23 h,07.-12.04.1997,220km/6stages,"Oster, Thomas",GER,,51,M,49,#NA,,25.573055555555555,1997,ELITE
889,25:34:28 h,15.-24.03.1990,220km/6stages,"Atienza, Patrice",FRA,1961.0,24,M,23,M20,3,25.574444444444445,1990,ELITE
890,25:35:06 h,25.-31.03.2007,221km/6stages,"Chorgnon, Ludovic",FRA,1971.0,41,M,39,M35,10,25.584999999999997,2007,ELITE
891,25:35:54 h,19.-25.03.1989,209km/6stages,"Caudron, Bernard",FRA,,38,M,36,#NA,,25.598333333333333,1989,ELITE
892,25:36:05 h,02.-12.04.1999,225km/6stages,"Pellizzari, Rosanna",ITA,1959.0,46,F,2,W40,1,25.60138888888889,1999,ELITE
893,25:36:08 h,07.-12.04.1997,220km/6stages,"Florence, Jean",FRA,,52,M,50,#NA,,25.602222222222224,1997,ELITE
894,25:36:20 h,09.-15.04.2006,212km/6stages,"Mosta, Karim",MAR,1954.0,40,M,40,M50,2,25.605555555555558,2006,ELITE
895,25:36:23 h,06.-13.04.2025,250km/6stages,"El Amrany, Aziza",MAR,1989.0,8,F,2,W35,1,25.60638888888889,2025,ELITE
896,25:36:26 h,15.-24.03.1990,220km/6stages,"David, Pascal",FRA,,25,M,24,#NA,,25.607222222222223,1990,ELITE
897,25:36:29 h,30.03.-04.04.2009,202.2km/4stages,"Malleret, Jean-Baptiste",FRA,1973.0,57,M,54,M35,20,25.608055555555556,2009,ELITE
898,25:36:34 h,04.-10.04.1995,230km/6stages,"Bach, Michel",FRA,1946.0,32,M,31,M45,3,25.609444444444446,1995,ELITE
899,25:36:55 h,07.-13.04.2019,237km/6stages,"Vigier, Clement",FRA,1988.0,30,M,28,M30,5,25.61527777777778,2019,ELITE
900,25:37:04 h,08.-14.04.2018,237km/6stages,"Lejeune, Arnaud",FRA,1979.0,16,M,15,M35,5,25.61777777777778,2018,ELITE
901,25:37:06 h,29.03.-04.04.1993,200km/6stages,"Defos, Christian",FRA,1948.0,14,M,14,M45,1,25.618333333333332,1993,ELITE
902,25:37:14 h,09.-15.04.2006,212km/6stages,"Steculorum, Bruno",FRA,1972.0,41,M,41,M30,9,25.620555555555555,2006,ELITE
903,25:37:15 h,09.-15.04.2017,250km/6stages,"Zeroual, Larbi",FRA,1971.0,22,M,19,M45,5,25.620833333333334,2017,ELITE
904,25:37:22 h,02.-12.04.1999,225km/6stages,"Martin, Pascale",FRA,1969.0,47,F,3,W30,1,25.622777777777777,1999,ELITE
905,25:37:44 h,10.-16.04.2005,245.7km/6stages,"Laval, Benoit",FRA,1972.0,17,M,17,M30,7,25.628888888888888,2005,ELITE
906,25:37:51 h,07.-13.04.2019,237km/6stages,"Aragao, Daniel",AUS,1973.0,31,M,29,M45,3,25.630833333333335,2019,ELITE
907,25:37:51 h,03.-12.04.1987,220km/6stages,"Czaja, Jean-Claude",FRA,1949.0,7,M,7,M35,3,25.630833333333335,1987,ELITE
908,25:37:59 h,09.-15.04.2017,250km/6stages,"Ginter, Anthony",FRA,1982.0,23,M,20,M35,5,25.633055555555558,2017,ELITE
909,25:38:26 h,02.-12.04.2010,245km/6stages,"Ait Amar, Mustapha",MAR,1974.0,14,M,14,M35,7,25.640555555555554,2010,ELITE
910,25:38:27 h,03.-09.10.2021,234km/6stages,"Meslet, Pierre",FRA,1984.0,9,M,9,M35,3,25.640833333333333,2021,ELITE
911,25:38:34 h,04.-10.04.1995,230km/6stages,"Watson, Mark",GBR,1964.0,33,M,32,M30,5,25.642777777777777,1995,ELITE
912,25:39:06 h,25.-31.03.2007,221km/6stages,"Dubost, Alain",FRA,1960.0,42,M,40,M45,7,25.651666666666664,2007,ELITE
913,25:40:16 h,02.-12.04.1999,225km/6stages,"Chan, Kwok-Keung",HKG,1960.0,48,M,45,M35,7,25.671111111111113,1999,ELITE
914,25:41:01 h,05.-15.04.2013,250.7km/6stages,"Meek, Joanna",GBR,1977.0,22,F,2,W35,2,25.683611111111112,2013,ELITE
915,25:43:12 h,03.-09.04.2011,250.7km/6stages,"Vencelj, Anton",SLO,1972.0,15,M,15,M35,5,25.72,2011,ELITE
916,25:43:14 h,02.-12.04.1999,225km/6stages,"Taurines, Fernand",FRA,1952.0,49,M,46,M45,7,25.720555555555553,1999,ELITE
917,25:43:36 h,09.-15.04.2017,250km/6stages,"Zanetti, Cristian",ITA,1971.0,24,M,21,M45,6,25.726666666666667,2017,ELITE
918,25:43:38 h,05.-15.04.2013,250.7km/6stages,"Bot, Fabrice",FRA,1978.0,23,M,21,M35,7,25.72722222222222,2013,ELITE
919,25:44:25 h,30.03.-04.04.2009,202.2km/4stages,"Al Swaiti, Mohammad",JOR,1970.0,58,M,55,M35,21,25.740277777777777,2009,ELITE
920,25:44:47 h,30.03.-05.04.2008,245.3km/6stages,"Rouault, Jean-Marie",FRA,1964.0,17,M,17,M40,3,25.74638888888889,2008,ELITE
921,25:44:54 h,19.-25.03.1989,209km/6stages,"Adeline, Regis",FRA,,39,M,37,#NA,,25.748333333333335,1989,ELITE
922,25:45:35 h,30.03.-04.04.2009,202.2km/4stages,"Amadi, Christophe",FRA,1984.0,59,M,56,M20,6,25.759722222222223,2009,ELITE
923,25:45:43 h,09.-15.04.2006,212km/6stages,"Balard, Frederic",FRA,1968.0,42,M,42,M35,13,25.761944444444445,2006,ELITE
924,25:45:58 h,19.-25.03.1989,209km/6stages,"Marchand, Henry",FRA,,40,M,38,#NA,,25.766111111111112,1989,ELITE
925,25:45:58 h,19.-25.03.1989,209km/6stages,"Neuschwander, Philippe",FRA,1953.0,41,M,38,M35,8,25.766111111111112,1989,ELITE
926,25:46:14 h,15.-24.03.1990,220km/6stages,"Blaise, Francis",FRA,,26,M,25,#NA,,25.770555555555553,1990,ELITE
927,25:46:37 h,19.-25.03.1989,209km/6stages,"Bach, Anaguta",USA,,42,M,40,#NA,,25.776944444444442,1989,ELITE
928,25:46:46 h,07.-13.04.2002,230km/6stages,"Verdam, Frans Danny",NED,1964.0,31,M,31,M35,8,25.779444444444444,2002,ELITE
929,25:46:50 h,10.-16.04.2016,257km/6stages,"Robert, Merile",FRA,1971.0,14,M,12,M45,4,25.780555555555555,2016,ELITE
930,25:47:03 h,08.-14.04.2012,250.7km/6stages,"Zaid, Abdessadek",MAR,1975.0,18,M,18,M35,8,25.784166666666668,2012,ELITE
931,25:47:22 h,06.-12.04.2003,243km/6stages,"Motte, Eric",FRA,1958.0,17,M,17,M45,3,25.789444444444445,2003,ELITE
932,25:47:28 h,30.03.-04.04.2009,202.2km/4stages,"Blanco, Pablo",FRA,1974.0,60,M,57,M35,22,25.791111111111114,2009,ELITE
933,25:47:28 h,02.-12.04.1999,225km/6stages,"Berger, Christian",AUT,1964.0,50,M,47,M35,8,25.791111111111114,1999,ELITE
934,25:47:53 h,07.-12.04.1997,220km/6stages,"Zacchi, Anna",ITA,1951.0,53,F,3,W45,1,25.798055555555557,1997,ELITE
935,25:48:06 h,09.-18.04.1994,220km/6stages,"Lean, Mikhael",FRA,,35,M,34,#NA,,25.801666666666666,1994,ELITE
936,25:48:07 h,10.-16.04.2016,257km/6stages,"Parra Talero, Edgar Alonso",COL,1966.0,15,M,13,M50,1,25.801944444444445,2016,ELITE
937,25:48:14 h,10.-16.04.2016,257km/6stages,"Ghandoura, Anys",FRA,1974.0,16,M,14,M40,4,25.80388888888889,2016,ELITE
938,25:48:16 h,07.-13.04.2019,237km/6stages,"El Mlih, Tarik",MAR,1976.0,32,M,30,M40,7,25.804444444444446,2019,ELITE
939,25:48:40 h,02.-12.04.1999,225km/6stages,"Rosset, Philippe",SUI,1954.0,51,M,48,M45,8,25.811111111111114,1999,ELITE
940,25:48:44 h,02.-12.04.1999,225km/6stages,"Vozel, Jean-Pierre",FRA,1955.0,52,M,49,M40,10,25.81222222222222,1999,ELITE
941,25:48:56 h,09.-15.04.2006,212km/6stages,"Bouhrim, Mohamed",MAR,1965.0,43,M,43,M40,7,25.815555555555555,2006,ELITE
942,25:48:57 h,09.-15.04.2017,250km/6stages,"Yavuz, Mahmut",TUR,1982.0,25,M,22,M35,6,25.815833333333334,2017,ELITE
943,25:49:15 h,25.03.-04.04.2022,250km/6stages,"Hitchcock, Anthony",GBR,1991.0,18,M,16,M30,3,25.820833333333333,2022,ELITE
944,25:49:16 h,02.-12.04.1999,225km/6stages,"Schweizer, Hansjörg",SUI,1947.0,53,M,50,M50,2,25.82111111111111,1999,ELITE
945,25:49:34 h,02.-12.04.1999,225km/6stages,"Suter, Thomas",SUI,1957.0,54,M,51,M40,11,25.82611111111111,1999,ELITE
946,25:49:54 h,05.-11.04.2015,249km/6stages,"Verdier, Philippe",FRA,1962.0,15,M,15,M50,1,25.831666666666667,2015,ELITE
947,25:49:54 h,03.-12.04.1988,220km/6stages,"Voyau, Ted",FRA,,67,M,65,#NA,,25.831666666666667,1988,ELITE
948,25:50:28 h,07.-12.04.1997,220km/6stages,"Civati, Enrico",ITA,,54,M,51,#NA,,25.84111111111111,1997,ELITE
949,25:50:30 h,11.-17.04.2004,237km/6stages,"Vallee, Yves",FRA,1962.0,24,M,24,M40,7,25.841666666666665,2004,ELITE
950,25:50:38 h,29.03.-04.04.1998,229km/6stages,"Caupene, Gerard",FRA,1957.0,31,M,29,M40,4,25.843888888888888,1998,ELITE
951,25:50:51 h,01.-07.04.2001,243km/6stages,"Martin, Pierre",FRA,1966.0,14,M,13,M35,4,25.8475,2001,ELITE
952,25:50:52 h,07.-13.04.2002,230km/6stages,"Al-Aqra, Salameh",JOR,1970.0,32,M,32,M30,9,25.847777777777775,2002,ELITE
953,25:51:03 h,08.-14.04.2012,250.7km/6stages,"Ait Abdelouahed, Abdelaziz",MAR,1975.0,19,M,19,M35,9,25.850833333333334,2012,ELITE
954,25:51:12 h,02.-12.04.1999,225km/6stages,"Bett, Kevin",GBR,,55,M,52,#NA,,25.853333333333335,1999,ELITE
955,25:51:13 h,07.-12.04.1997,220km/6stages,"Restes, Guy",FRA,,55,M,52,#NA,,25.853611111111114,1997,ELITE
956,25:52:19 h,25.-31.03.2007,221km/6stages,"Malerba, Mario",ITA,1957.0,43,M,41,M50,2,25.871944444444445,2007,ELITE
957,25:52:21 h,25.03.-04.04.2022,250km/6stages,"Ginter, Anthony",FRA,1982.0,19,M,17,M40,6,25.8725,2022,ELITE
958,25:52:57 h,11.-17.04.2004,237km/6stages,"Poggiali, Marcello",ITA,1975.0,25,M,25,M20,2,25.8825,2004,ELITE
959,25:53:00 h,19.-25.03.1989,209km/6stages,"Sacleux, Jean-Claude",FRA,1951.0,43,M,41,M35,9,25.883333333333333,1989,ELITE
960,25:54:14 h,04.-10.04.2000,220km/6stages,"Pawzik, Heike",GER,1963.0,24,F,1,W35,1,25.903888888888886,2000,ELITE
961,25:54:19 h,02.-12.04.1999,225km/6stages,"Sharp, Mark C.",GBR,,56,M,53,#NA,,25.905277777777776,1999,ELITE
962,25:54:28 h,02.-12.04.1999,225km/6stages,"Trochu, William",FRA,1952.0,57,M,54,M45,9,25.907777777777778,1999,ELITE
963,25:55:02 h,30.03.-05.04.2008,245.3km/6stages,"Pageaux, Alain",FRA,1965.0,18,M,18,M40,4,25.91722222222222,2008,ELITE
964,25:55:18 h,25.-31.03.2007,221km/6stages,"Jensen, Johnny Valdemar",DEN,1969.0,44,M,42,M35,11,25.921666666666667,2007,ELITE
965,25:55:34 h,25.-31.03.2007,221km/6stages,"de Buchere, Emmanuel",FRA,1969.0,45,M,43,M35,12,25.926111111111112,2007,ELITE
966,25:55:34 h,11.-17.04.2004,237km/6stages,"Chouteau, Bernard",FRA,1960.0,26,M,26,M40,8,25.926111111111112,2004,ELITE
967,25:55:42 h,07.-13.04.2002,230km/6stages,"Cockwell, David",GBR,1970.0,33,M,33,M30,10,25.928333333333335,2002,ELITE
968,25:55:50 h,02.-12.04.1999,225km/6stages,"Caupene, Gerard",FRA,1957.0,58,M,55,M40,12,25.930555555555557,1999,ELITE
969,25:55:53 h,30.03.-05.04.2008,245.3km/6stages,"Benmrad, Lofti",TUN,1972.0,19,M,19,M35,6,25.93138888888889,2008,ELITE
970,25:55:56 h,30.03.-04.04.2009,202.2km/4stages,"Afshar, Daniel",GBR,1973.0,61,M,58,M35,23,25.932222222222222,2009,ELITE
971,25:56:01 h,02.-12.04.1999,225km/6stages,"Cecco, Giuseppina",ITA,1960.0,59,F,4,W35,2,25.933611111111112,1999,ELITE
972,25:56:19 h,10.-16.04.2005,245.7km/6stages,"Balard, Patrice",FRA,1965.0,18,M,18,M40,6,25.93861111111111,2005,ELITE
973,25:56:49 h,30.03.-04.04.2009,202.2km/4stages,"Claudic, Pascal",FRA,1961.0,62,M,59,M45,10,25.946944444444444,2009,ELITE
974,25:56:50 h,04.-10.04.1995,230km/6stages,"Maziere, Jean-Luc",FRA,1958.0,34,M,33,M35,3,25.947222222222223,1995,ELITE
975,25:57:24 h,11.-22.04.1992,231km/6stages,"Gabriele, Guy",FRA,1966.0,24,M,23,M20,5,25.956666666666667,1992,ELITE
976,25:58:11 h,09.-18.04.1994,220km/6stages,"Piccoli, Joseph",FRA,1946.0,36,M,35,M45,3,25.96972222222222,1994,ELITE
977,25:58:27 h,25.03.-04.04.2022,250km/6stages,"Bondue, Maxime",FRA,1985.0,20,M,18,M35,3,25.974166666666665,2022,ELITE
978,25:58:37 h,05.-11.04.2015,249km/6stages,"Olmo, Marco",ITA,1948.0,16,M,16,M65,1,25.97694444444444,2015,ELITE
979,25:58:43 h,29.03.-04.04.1998,229km/6stages,"Martinoli, Michel",FRA,,32,M,30,#NA,,25.97861111111111,1998,ELITE
980,25:58:50 h,02.-12.04.1999,225km/6stages,"Pecoraro, Marco",ITA,,60,M,56,#NA,,25.980555555555554,1999,ELITE
981,25:59:10 h,30.03.-04.04.2009,202.2km/4stages,"Bonnin Fuster, Francesco",ESP,1971.0,63,M,60,M35,24,25.98611111111111,2009,ELITE
982,25:59:19 h,04.-10.04.2000,220km/6stages,"Keren, Daniel",ISR,,25,M,24,#NA,,25.988611111111112,2000,ELITE
983,25:59:33 h,25.-31.03.2007,221km/6stages,"Mosta, Karim",MAR,1954.0,46,M,44,M50,3,25.9925,2007,ELITE
984,26:00:06 h,03.-09.04.2011,250.7km/6stages,"Garcia Beneito, Juan Vicente",ESP,1976.0,16,M,16,M35,6,26.001666666666665,2011,ELITE
985,26:00:41 h,06.-12.04.2003,243km/6stages,"Guerrero Marron, Luis Alfonso",MEX,1963.0,18,M,18,M40,5,26.011388888888888,2003,ELITE
986,26:00:58 h,04.-10.04.1995,230km/6stages,"Ainslie, Roraigh",GBR,1960.0,35,M,34,M35,4,26.016111111111112,1995,ELITE
987,26:01:03 h,09.-18.04.1994,220km/6stages,"Kulow, Wolfgang",GER,1949.0,37,M,36,M45,4,26.0175,1994,ELITE
988,26:01:07 h,10.-16.04.2016,257km/6stages,"Hellard, David",GBR,1978.0,17,M,15,M35,4,26.01861111111111,2016,ELITE
989,26:01:17 h,25.-31.03.2007,221km/6stages,"Faivre D'Arcier, Nicolas",FRA,1964.0,47,M,45,M40,10,26.02138888888889,2007,ELITE
990,26:01:34 h,08.-14.04.2018,237km/6stages,"Drew, Dominic",GBR,1993.0,17,M,16,M20,2,26.02611111111111,2018,ELITE
