event_id,date,name,distance,finishers,year,finishers_n
129573,07.-08.03.2026,Lindwurm - im Auge des Drachen 45 km (GER),45km,72,2026,72
129557,07.-08.03.2026,24 ore Monte Prealba 'UP and DOWN' (ITA),24h,26,2026,26
129558,07.03.2026,12 ore Monte Prealba 'UP and DOWN' (ITA),12h,23,2026,23
128778,07.03.2026,Patat'off (FRA),6h,20,2026,20
122233,07.03.2026,8h de Fos-sur-Mer (FRA),8h,28,2026,28
128021,07.03.2026,Dreiseenrunde (GER),50km,18,2026,18
125708,07.03.2026,Florida Death Race (USA),37mi,36,2026,36
125734,07.03.2026,ChesCo Race Fest #3 (USA),50km,15,2026,15
123800,07.03.2026,SallandTrail 50 km (NED),50km,194,2026,194
123801,07.03.2026,SallandTrail 60 km (NED),60km,97,2026,97
129713,07.03.2026,Älvdalen Winter Trail (SWE),58km,22,2026,22
125536,07.03.2026,Perennial (USA),6h,4,2026,4
128405,07.03.2026,Ultra Zadek Śladem Wilka (POL),50km,116,2026,116
129714,07.03.2026,Polojska ultra 100km (CRO),100km,53,2026,53
129715,07.03.2026,Polojska ultra 50km (CRO),50km,80,2026,80
129716,07.03.2026,Polojska ultra 100km NC (CRO),100km,53,2026,53
129264,07.03.2026,Winter Green Man Ultra 45 (GBR),45mi,132,2026,132
129574,07.-08.03.2026,Lindwurm - im Auge des Drachen 70 km (GER),70km,55,2026,55
123966,07.03.2026,Fishermanstrail - Frühlings-Edition (GER),58km,57,2026,57
128329,07.03.2026,Flora-Westfalica Ultramarathon (GER),50km,5,2026,5
118605,07.03.2026,Eiserner Anton – Halleluja-Steinbruch Ultramarathon (GER),45.3km,21,2026,21
129800,07.-08.03.2026,Tuffman Stadium Run Chandigarh - 24h (IND),24h,19,2026,19
129801,07.-08.03.2026,Tuffman Stadium Run New Delhi - 12h (IND),12h,32,2026,32
129802,07.-08.03.2026,Tuffman Stadium Run New Delhi - 6h (IND),6h,14,2026,14
124569,07.03.2026,Campo dei Fiori Trail 50km (ITA),50km,231,2026,231
123802,07.03.2026,SallandTrail 80 km (50 Mijl) (NED),80km,81,2026,81
125730,07.-08.03.2026,Homer Epic 100k Race (USA),100km,1,2026,1
125731,07.03.2026,Homer Epic 50k Race (USA),50km,18,2026,18
125987,07.03.2026,Conquer the Rock - Foothills 50K (USA),50km,51,2026,51
125738,07.03.2026,Squatchapple 50 Mile Race (USA),50mi,35,2026,35
125739,07.03.2026,Squatchapple 50 km Race (USA),50km,63,2026,63
116272,07.03.2026,Mid-Maryland Ultra 50k (USA),50km,57,2026,57
125753,07.03.2026,Music City Trail Ultra (USA),50km,37,2026,37
125756,07.03.2026,Way Too Cool 50K Endurance Run (USA),50km,249,2026,249
128080,07.03.2026,Super Bull Trail Championchips 50km (USA),50km,41,2026,41
122713,07.03.2026,The Dark Side 8 Hour Ultra (USA),8h,17,2026,17
120179,07.03.2026,Etown Trail Classic (USA),8h,11,2026,11
129788,07.-08.03.2026,Crooked Road 24 Hour Ultra (USA),24h,169,2026,169
125989,07.03.2026,Cross Timbers Trail Run (USA),50km,24,2026,24
122716,07.03.2026,Rock/Creek StumpJump 50K (USA),50km,121,2026,121
125998,07.03.2026,Lenape Trail Run (USA),34mi,17,2026,17
123804,07.03.2026,SallandTrail 100 km (NED),100km,29,2026,29
118407,07.03.2026,Ultra Kociol (POL),60km,154,2026,154
125711,07.03.2026,Livingston Oval Ultra (USA),12h,11,2026,11
125712,07.03.2026,Livingston Oval Ultra (USA),6h,6,2026,6
117284,07.03.2026,The Skyline Scramble (USA),6h,13,2026,13
125988,07.03.2026,Long Play Trail Race (USA),33mi,86,2026,86
117285,07.03.2026,The Skyline Scramble (USA),12h,39,2026,39
125990,07.03.2026,McClellan Madness Run (USA),8h,8,2026,8
125992,07.03.2026,Naked Mountain Ultra (USA),60km,12,2026,12
125737,07.03.2026,MST 50 km Endurance Race (USA),50km,38,2026,38
125996,07.03.2026,Coyote Ugly 50k (USA),50km,51,2026,51
125997,07.03.2026,Seneca Creek Greenway Trail 50k (USA),50km,178,2026,178
125742,07.03.2026,Prickly Pear 50 km Trail Run (USA),50km,124,2026,124
125743,07.03.2026,Labor of Love 50 km Race (USA),50km,5,2026,5
125744,07.-08.03.2026,Atheon (USA),17h,5,2026,5
126001,07.03.2026,Chili Peppers Series - Day 1 (USA),50km,7,2026,7
125751,07.03.2026,Sierra Vista Trail Runs 50 km Race (USA),50km,56,2026,56
125752,07.03.2026,Naked Bavarian 40 Miler (USA),40mi,62,2026,62
125266,07.03.2026,Siuslaw Dunes 50km Trail Race (USA),50km,72,2026,72
125529,07.03.2026,Hard Times Trail Run (USA),50km,11,2026,11
125535,07.03.2026,Perennial (USA),10h,33,2026,33
125538,07.03.2026,Geaux Wild Ultra (USA),50km,18,2026,18
126097,07.03.2026,Tour de Dodge (USA),50km,24,2026,24
122615,07.03.2026,Frio Trail Runs (USA),50km,17,2026,17
128933,07.03.2026,Albiger 12-Stunden-Lauf (GER),12h,14,2026,14
121700,07.03.2026,Xtrail Kenting by UTMB - Xtrail 50K (TPE),52km,712,2026,712
125546,07.03.2026,Great Springs Trail Race - Austin (USA),50km,32,2026,32
129699,07.03.2026,Red Mountain 50K (USA),50km,118,2026,118
128406,07.03.2026,Ultra Zadek Dziki Orła Cień (POL),73km,38,2026,38
129575,07.-08.03.2026,Lindwurm - im Auge des Drachen 114 km (GER),114km,47,2026,47
124570,07.03.2026,Campo dei Fiori Trail 70km (ITA),70km,137,2026,137
117208,07.03.2026,Motatapu Rab Ultra (NZL),52.5km,193,2026,193
125729,07.03.2026,No Man’s 50K Challenge (USA),50km,10,2026,10
125735,07.-08.03.2026,MST 100 Mile Endurance Race (USA),100mi,23,2026,23
125736,07.03.2026,MST 50 Mile Endurance Race (USA),50mi,20,2026,20
125758,07.03.2026,Carl Touchstone Memorial Mississippi Trail 50 Mile (USA),50mi,29,2026,29
125760,07.03.2026,Old Pueblo 50 Mile Endurance Run (USA),50mi,45,2026,45
126020,07.-08.03.2026,Swamp Fox Ultra 100mi (USA),100mi,7,2026,7
126021,07.03.2026,Swamp Fox Ultra 50mi (USA),50mi,44,2026,44
126022,07.03.2026,Swamp Fox Ultra 50km (USA),50km,52,2026,52
122714,07.03.2026,Delano Park 50 Mile Run (USA),50mi,8,2026,8
122715,07.03.2026,Delano Park 12 Hour Run (USA),12h,79,2026,79
125537,07.03.2026,Geaux Wild Ultra (USA),50mi,5,2026,5
126365,07.03.2026,Skyline Ridge Trail Run (USA),50km,32,2026,32
121701,07.-08.03.2026,Xtrail Kenting by UTMB - Xtrail 100K (TPE),91km,343,2026,343
130458,07.03.2026,Ultramaratona Peixe-Boi (BRA),50km,40,2026,40
123565,07.03.2026,Black Mountain Trail - Coupo Cambo (FRA),64km,684,2026,684
125709,07.03.2026,Antelope Canyon 50 Mile Race (USA),50mi,132,2026,132
125710,07.03.2026,Antelope Canyon 55 Km Race (USA),55km,383,2026,383
129768,07.03.2026,Geaux Wild Ultra (USA),100mi,3,2026,3
121297,07.03.2026,Insanity Mountain Pico da Bandeira (BRA),55km,45,2026,45
123564,07.03.2026,Céven Trail - Ultra du Bout du Cirque (FRA),101km,233,2026,233
125707,07.03.2026,Florida Death Race (USA),74mi,30,2026,30
128407,07.03.2026,Ultra Zadek Tropem Łosia (POL),101km,57,2026,57
123242,07.03.2026,12 horas Marechal Candido Rondon (BRA),12h,14,2026,14
121296,07.03.2026,Insanity Mountain Pico da Bandeira (BRA),80km,25,2026,25
125759,07.03.2026,Carl Touchstone Memorial Mississippi Trail 50 Km (USA),50km,74,2026,74
129556,06.-08.03.2026,36 ore Monte Prealba 'UP and DOWN' (ITA),36h,14,2026,14
125041,06.-08.03.2026,The Tunnel Ultra  (GBR),200mi,8,2026,8
125757,06.-07.03.2026,Carl Touchstone Memorial Mississippi Trail 100 Mile (USA),100mi,18,2026,18
129560,06.-08.03.2026,48 ore Monte Prealba 'UP and DOWN' (ITA),48h,20,2026,20
125761,06.-08.03.2026,Queeny Backyard Ultra (USA),61h,78,2026,78
129567,06.03.2026,Gerrit Krolmarathon (NED),46km,3,2026,3
129349,06.03.2026,Midweek Chasing Numbers (GBR),7h,1,2026,1
125994,06.-08.03.2026,Conquer the Wall 47 Hour Endurance Challenge (USA),47h,46,2026,46
125995,06.-08.03.2026,Conquer the Wall 35 Hour Endurance Challenge (USA),35h,26,2026,26
123082,06.03.2026,Ultramaraton Fuego Y Agua 100 km (NCA),100km,9,2026,9
123083,06.03.2026,Ultramaraton Fuego Y Agua 50 km (NCA),50km,22,2026,22
117283,01.03.2026,Barry 40 Mile Track Race (GBR),40mi,5,2026,5
129637,01.03.2026,Barry 40 Mile Track Race - 50km split (GBR),50km,5,2026,5
119877,01.03.2026,Dreilinden Ultra-Lauf (GER),50km,11,2026,11
130083,01.03.2026,Lapland Arctic Ultra - 50 km (SWE),50km,7,2026,7
130084,01.03.2026,Lapland Arctic Ultra - 500 km (SWE),500km,14,2026,14
130085,01.03.2026,Lapland Arctic Ultra - 185 km (SWE),185km,27,2026,27
130086,01.03.2026,Lapland Arctic Ultra - 85 km (SWE),85km,2,2026,2
123582,01.03.2026,Trail de Vulcain - Marathon Volcanique (FRA),48km,722,2026,722
119876,01.03.2026,Dreilinden Ultra-Lauf (GER),6h,37,2026,37
130260,01.03.2026,Modern Japanese Silk Road Journey Run - Stage 2 (JPN),71.7km,118,2026,118
129545,01.03.2026,Trail du Petit Ballon (FRA),52km,1303,2026,1303
122374,01.03.2026,Lienen Ultramarathon (GER),46km,28,2026,28
124554,01.03.2026,Schnadegang Rund um Plettenberg (GER),58km,32,2026,32
128968,01.03.2026,BUP - 2. Dogrywka (POL),7h,8,2026,8
125865,01.03.2026,Bristow Trail Run (USA),50km,6,2026,6
124029,01.03.2026,Trail du Cap Sizun (FRA),52km,370,2026,370
130998,01.03.2026,El Paso Austral - Ultra Trail 50 (ARG),50km,48,2026,48
130997,01.03.2026,El Paso Austral - Ultra Trail 70 (ARG),70km,79,2026,79
121931,01.03.2026,Belair 50k Ultra Marathon (AUS),50km,84,2026,84
125765,01.03.2026,The Cowtown Marathon (USA),50km,88,2026,88
123581,01.03.2026,La 66 Grand Trail de L'Aspre (FRA),66km,292,2026,292
123583,01.03.2026,Trail de Vulcain Ultra (FRA),77km,520,2026,520
129798,01.03.2026,Trail-A-Thon 56 Km Run (IND),56km,33,2026,33
129632,01.03.2026,Guandu Danube Ultra Run (TPE),45km,11,2026,11
129822,01.03.2026,Kangra Ultra 100km (IND),100km,1,2026,1
129823,01.03.2026,Kangra Ultra 75km (IND),75km,2,2026,2
129824,01.03.2026,Kangra Ultra 50km (IND),50km,8,2026,8
