Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID,finish_hours,speed_float,tier,dist_km,speed_kmh_clean,pace_min_km
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,20:12:02 h,,ESP,,M,,10.891,1080344,20.200555555555553,10.891,ELITE,220.0,10.890789582244714,5.509242424242423
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,21:02:35 h,,FRA,,M,,10.455,1073186,21.043055555555558,10.455,ELITE,220.0,10.454755461685696,5.739015151515152
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,21:18:50 h,,ITA,1948.0,M,M50,10.322,418504,21.31388888888889,10.322,ELITE,220.0,10.321907989052521,5.812878787878788
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,21:29:00 h,,ESP,1959.0,M,M40,10.24,1078754,21.483333333333334,10.24,ELITE,220.0,10.240496508921645,5.859090909090909
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,21:47:28 h,,FRA,1963.0,M,M35,10.096,1119658,21.791111111111114,10.096,ELITE,220.0,10.095859677748315,5.943030303030304
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,21:50:11 h,,FRA,1970.0,M,M23,10.075,608995,21.836388888888887,10.075,ELITE,220.0,10.074925900955337,5.955378787878788
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,22:11:16 h,,MAR,1974.0,M,M23,9.915,527462,22.18777777777778,9.915,ELITE,220.0,9.915368821673594,6.051212121212121
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,22:13:15 h,,MAR,,M,,9.901,1093164,22.22083333333333,9.901,ELITE,220.0,9.900618788674294,6.060227272727272
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,22:29:44 h,,MAR,1974.0,M,M23,9.78,553795,22.495555555555555,9.78,ELITE,220.0,9.779709572261188,6.135151515151515
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,22:43:03 h,,ESP,1966.0,M,M23,9.684,557033,22.717499999999998,9.684,ELITE,220.0,9.68416419060196,6.195681818181818
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,23:04:57 h,,FRA,,M,,9.531,1119659,23.0825,9.531,ELITE,220.0,9.531030001083073,6.2952272727272724
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,23:45:40 h,,FRA,1952.0,M,M45,9.259,448180,23.761111111111113,9.259,ELITE,220.0,9.258826280102875,6.4803030303030305
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,24:21:20 h,,FRA,1966.0,M,M23,9.033,383211,24.355555555555558,9.033,ELITE,220.0,9.032846715328466,6.6424242424242435
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,24:40:58 h,,MAR,1969.0,M,M23,8.913,1119660,24.68277777777778,8.913,ELITE,220.0,8.913097301312206,6.7316666666666665
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,24:51:56 h,,FRA,1957.0,M,M40,8.848,1085270,24.865555555555556,8.848,ELITE,220.0,8.847580320836498,6.781515151515152
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,25:01:05 h,,GER,1953.0,M,M45,8.794,1119661,25.018055555555556,8.794,ELITE,220.0,8.793649031255205,6.823106060606061
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,25:20:24 h,,USA,1960.0,M,M35,8.682,1119662,25.34,8.682,ELITE,220.0,8.681925808997633,6.91090909090909
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,25:21:50 h,,GBR,,M,,8.674,1119663,25.36388888888889,8.674,ELITE,220.0,8.673748767933413,6.917424242424243
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,25:54:14 h,,GER,1963.0,F,W35,8.493,199157,25.903888888888886,8.493,ELITE,220.0,8.492933279001438,7.064696969696969
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,25:59:19 h,,ISR,,M,,8.465,244430,25.988611111111112,8.465,ELITE,220.0,8.465246528928269,7.087803030303031
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:05:40 h,,FRA,1958.0,M,M40,8.431,1106852,26.094444444444445,8.431,ELITE,220.0,8.430913348946136,7.116666666666666
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:10:11 h,,FRA,,M,,8.407,1119664,26.169722222222223,8.407,ELITE,220.0,8.406661642483362,7.137196969696969
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:31:40 h,,MAR,,M,,8.293,1119665,26.52777777777778,8.293,ELITE,220.0,8.293193717277486,7.234848484848485
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:37:10 h,,FRA,1953.0,M,M45,8.265,1093178,26.619444444444444,8.265,ELITE,220.0,8.26463529166232,7.259848484848484
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:43:21 h,,FRA,1954.0,M,M45,8.233,123244,26.722499999999997,8.233,ELITE,220.0,8.232762653194873,7.287954545454546
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,26:43:26 h,,FRA,1957.0,M,M40,8.232,825940,26.723888888888887,8.232,ELITE,220.0,8.232334781614453,7.288333333333333
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:00:30 h,,USA,1974.0,M,M23,8.146,52106,27.008333333333333,8.146,ELITE,220.0,8.14563406356063,7.36590909090909
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:12:43 h,,FRA,1960.0,M,M40,8.085,1079702,27.211944444444445,8.085,ELITE,220.0,8.084685034145545,7.4214393939393934
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:25:31 h,,FRA,1959.0,M,M40,8.022,84981,27.42527777777778,8.022,ELITE,220.0,8.02179659883927,7.479621212121213
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:25:51 h,,USA,1969.0,M,M23,8.02,123268,27.430833333333336,8.02,ELITE,220.0,8.020171947625846,7.481136363636365
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:29:53 h,,FRA,1961.0,M,M35,8.001,1104891,27.498055555555556,8.001,ELITE,220.0,8.000565696564403,7.499469696969698
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:30:34 h,,MAR,1954.0,M,M45,7.997,1069372,27.509444444444444,7.997,ELITE,220.0,7.9972534685057655,7.502575757575758
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:43:50 h,,JPN,1978.0,M,MU23,7.933,274313,27.730555555555554,7.933,ELITE,220.0,7.9334869277772215,7.5628787878787875
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:51:39 h,,DEN,,M,,7.896,1119666,27.860833333333336,7.896,ELITE,220.0,7.896389794514401,7.598409090909092
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:52:45 h,,FRA,1969.0,F,W23,7.891,149296,27.879166666666666,7.891,ELITE,220.0,7.8911971304737705,7.603409090909091
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:55:10 h,,ITA,1959.0,M,M40,7.88,1078773,27.919444444444444,7.88,ELITE,220.0,7.879812953934932,7.614393939393939
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,27:55:34 h,,FRA,1952.0,M,M45,7.878,1064614,27.926111111111112,7.878,ELITE,220.0,7.877931843953289,7.616212121212122
